filename,site,day,month,year,date
20230526_140000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_141000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_142000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_143000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_144000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_145000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_150000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_151000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_152000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_153000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_154000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_155000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_160000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_161000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_162000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_163000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_164000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_165000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_170000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_171000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_172000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_173000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_174000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_175000.WAV,PRIMAVERA,26,5,23,5/26/23
20230527_050000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_051000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_052000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_053000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_054000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_055000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_060000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_061000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_062000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_063000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_064000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_065000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_070000.WAV,PRIMAVERA,27,5,23,5/27/23
